Date,Title,Summary
2022/12/28,450 lagun Guggenheimen 25 urteak ospatzeko afarian,"Bilboko museoak mende laurdena bete du, eta urtebetetze egunaren bezperan, afaria egin dute Guggenheimen bertan."
2022/12/15,"Amaia Uribe: ''Trumpekin zen uneoro lanean egotea, orden barik; Bidenekin lan gutxiago egiten da''","Bost urte pasa ditu Amaia Uribe kazetariak AEBn korrespontsal lanetan. Bi presidente, hiru hauteskunde, bi hurakan eta pandemia bat bizi izan ditu. Trumpekin eta Bidenekin lan egitea nolakoa zen azaltzeaz gain, pandemiaren gogortasunaz eta Pablo Ibarren auziaz ere hitz egin digu."
2022/12/15,"Demokratek gehiengoa lortu dute Estatu Batuetako Senatuan, Georgiaren garaipenaren ostean","Bien bitartean, Trump Erakundeko bi enpresa errudun jo ditu epaimahaiak iruzur fiskala eta dokumentuak faltsutzea egotzita."
2022/12/07,Donald Trumpek iragarri du AEBko presidentetzarako lehiatuko dela berriro,"Donald Trump AEBko presidente ohiak 2024ko hauteskundeetan lehiatzeko asmoa iragarri du Floridatik. Bere helburua Etxe Zurira itzuli eta ""gainbeheran"" dagoen eta beste leku batzuetako milioika pertsonak ""inbadituta"" dagoen herrialdeari ""distira"" itzultzea da."
2022/12/07,Trumpek baieztatu egin du hautagaitza aurkeztuko duela 2024ko hauteskundeetarako,"Presidente ohiak ofizial egin du berriz ere aurkeztuko duela bere burua, baina testuinguru kaskarrean: legealdi erdiko hauteskundeetan babestu zituen hautagai gehienek porrot egin zuten, eta Alderdi Errepublikanoak esperotakoa baino emaitza txarragoak lortu zituen."
2022/11/16,Elkarrizketak Errusia eta AEBen artean,"Gaur, otsailean Ukrainako erasoa hasi zenetik lehen aldiz gertatu da bi herrialdeen arteko elkarrizketa."
2022/11/16,"Demokratak nagusi Nevadan, eta Senatuaren kontrolari eutsiko diote","Hala ere, Joe Bidenen alderdiaren garaipena ez da erabatekoa izan, Joe Lombardok lortu baitu estatu horretan gobernadore izendapena."
2022/11/16,AEBko komunikabide kontserbadoreak Trumpi bizkarra ematen hasi dira,"Horrela, 'New York Post', Fox News eta 'The Wall Street Journal' agertutako informazioek gero eta distantzia handiagoa erakusten dute Alderdi Errepublikanoaren eta presidente ohiaren gertuko komunikabide horien artean."
2022/11/16,Demokraziarako egun ona izan dela esan du Bidenek hauteskundeen emaitzak baloratzean,Errepublikanoek iragarritako olatua ia ezer ezean gelditu dela baieztatu du Biden presidenteak. Azken lau hamarkadetan presidente demokrata batek lortutako emaitzarik onenak eskuratu dituela ere azpimarratu du.
2022/11/14,AEBko Kongresuak airean jarraitzen du hauteskundeak eta egun bat geroago,"Ameriketako Estatu Batuetako etorkizuneko Kongresuaren osaerak airean jarraitzen du, hauteskunde-zentroak itxi zirenetik egun oso bat igaro denean. Ordezkarien Ganberan zein Senatuan oraindik erabakitzeke dauden gakoak daude."
